Brand,Insurance Validity,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement (in cc),Transmission,Mileage (in kmpl),Max Power (in bhp),Wheel Size,Registration Month,Registration Year,Price (in lacs),City
Maruti,Third Party,CNG,7.0,51012.0,First Owner,1373.0,Manual,22.8,80.9,,Jun,2015.0,7.04,Mumbai
Renault,Third Party,Petrol,5.0,31782.0,First Owner,999.0,Manual,21.74,67.0,,Jun,2020.0,4.7,Hyderabad
Hyundai,Third Party insurance,Petrol,5.0,102028.0,First Owner,1591.0,Manual,17.01,121.3,16,Oct,2012.0,4.9,Bangalore
Ford,Not Available,Petrol,5.0,27807.0,First Owner,1196.0,Manual,18.16,86.8,14,Sept,2017.0,3.96,Kolkata
Maruti,Comprehensive,Diesel,5.0,60680.0,First Owner,1248.0,Manual,24.3,88.5,16,Oct,2019.0,9.5,Ahmedabad
Ford,Third Party insurance,Diesel,5.0,61000.0,First Owner,1399.0,Manual,20.0,68.0,14,Jun,2011.0,3.1,Hyderabad
Hyundai,Third Party,Petrol,5.0,71438.0,First Owner,1197.0,Manual,17.19,81.86,16,Jun,2015.0,5.39,Mumbai
Skoda,Third Party insurance,Petrol,5.0,47577.0,First Owner,1798.0,Automatic,14.67,177.46,17,Jun,2016.0,14.0,Mumbai
Maruti,Third Party,Petrol,5.0,99832.0,First Owner,1197.0,Manual,18.5,85.8,,Jun,2011.0,3.04,Bangalore
Mahindra,Third Party,Diesel,7.0,28000.0,First Owner,2179.0,Automatic,15.1,152.87,R18,Feb,2021.0,20.75,Bangalore
Hyundai,Third Party insurance,Petrol,5.0,39000.0,First Owner,1197.0,Manual,18.6,81.83,16,Mar,2019.0,7.75,Bangalore
Maruti,Third Party insurance,Petrol,5.0,25000.0,First Owner,1197.0,Manual,21.4,83.1,16,,,6.9,Bangalore
Renault,Not Available,Diesel,5.0,121904.0,First Owner,1461.0,Manual,20.45,83.8,16,Oct,2014.0,4.5,Jaipur
Mahindra,Comprehensive,Diesel,5.0,28000.0,First Owner,2198.0,Automatic,,182.38,17,Jul,2022.0,22.75,Delhi
Renault,Third Party,Petrol,7.0,24160.0,First Owner,999.0,Manual,20.0,71.01,,Jun,2021.0,6.33,Hyderabad
Hyundai,Not Available,Diesel,5.0,40246.0,First Owner,1120.0,Manual,24.0,70.0,,Oct,2017.0,4.2,Ahmedabad
Ford,Comprehensive,Diesel,7.0,80000.0,Second Owner,3198.0,Automatic,10.91,197.0,18,Mar,2017.0,28.5,Bangalore
Maruti,Third Party,Petrol,5.0,64214.0,Fourth Owner,998.0,Manual,20.51,67.04,,Dec,2015.0,3.6,Hyderabad
Honda,Third Party insurance,Petrol,5.0,60000.0,Second Owner,1198.0,Manual,19.4,86.8,,Sept,2012.0,2.35,Kolkata
