Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Wheel Size
Maruti,Alto 800 LXI,Comprehensive,Petrol,5,"46,687",GJ04,First Owner,796,Manual,2017,24.7,47.3,69,Jun,2017,60,2.89,Ahmedabad,
Maruti,Baleno Delta,Third Party,Petrol,5,"30,329",GJ01,First Owner,1197,Manual,2021,21.01,81.80,113,Jun,2021,20,6.98,Ahmedabad,
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,Comprehensive,Petrol,5,"38,581",GJ06,First Owner,1197,Manual,2018,18.9,81.86,113.75,Jun,2018,50,5.03,Ahmedabad,
Maruti,Baleno Zeta CVT,Third Party insurance,Petrol,5,"60,532",GJ18,First Owner,1197,Automatic,2020,19.56,81.80,113,Mar,2020,30,6.95,Ahmedabad,R16
Maruti,Baleno Delta,Comprehensive,Petrol,5,"61,462",GJ11,First Owner,1197,Manual,2021,21.01,81.80,113,May,2021,20,6.1,Ahmedabad,
Hyundai,Grand i10 1.2 Kappa Magna BSIV,Third Party,Petrol,5,"25,776",GJ01,First Owner,1197,Manual,2018,18.9,81.86,113.75,Jun,2018,50,5.23,Ahmedabad,
Maruti,Alto K10 VXI,Third Party,Petrol,5,"17,357",GJ10,First Owner,998,Manual,2018,23.95,67.05,90,Jun,2018,50,3.91,Ahmedabad,
Maruti,S-Presso VXI Plus 2019-2022,Third Party insurance,Petrol,5,"29,102",GJ38,First Owner,998,Manual,2020,21.7,65.71,89,Dec,2020,30,4.25,Ahmedabad,
Maruti,Alto 800 LXI,Third Party,Petrol,5,"39,246",GJ01,First Owner,796,Manual,2018,24.7,47.3,69,Jun,2018,50,3.27,Ahmedabad,
Maruti,Alto 800 LXI,Comprehensive,Petrol,5,"40,211",GJ34,First Owner,796,Manual,2018,24.7,47.3,69,Jun,2018,50,3.27,Ahmedabad,
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"26,877",GJ04,First Owner,998,Manual,2016,20.51,67.04,90,Jun,2016,70,4.22,Ahmedabad,
Honda,Brio S MT,Third Party insurance,Petrol,5,"46,004",GJ05,First Owner,1198,Manual,2012,19.4,86.8,109,Dec,2012,75,2.75,Ahmedabad,
Hyundai,Verna 1.6 CRDi SX,Comprehensive,Diesel,5,"50,000",GJ27,First Owner,1582,Manual,2017,23.9,126.2,259.9,Oct,2017,60,8.75,Ahmedabad,16
Tata,Movus LX,Comprehensive,Diesel,7,"65,000",GJ18,First Owner,2179,Manual,2014,15.16,118.35,250,Sept,2015,75,3.0,Ahmedabad,
