Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City
BMW,3 Series GT Luxury Line,Comprehensive,Diesel,5,"38,703",KA51,First Owner,1995,Automatic,2017,21.76,188,400,18,Jun,2017,60,36.95,Bangalore
Renault,Kiger RXL,Comprehensive,Petrol,5,"20,031",KA04,First Owner,999,Manual,2021,19.17,71.01,96,,Jun,2021,20,7.17,Bangalore
Renault,Kiger RXZ,Third Party,Petrol,5,"12,109",KA04,First Owner,999,Manual,2021,19.17,71.01,96,16,Jun,2021,20,8.39,Bangalore
Renault,Kiger RXZ,Third Party,Petrol,5,"5,186",KA03,First Owner,999,Manual,2021,19.17,71.01,96,16,Jun,2021,20,8.53,Bangalore
Ford,Ecosport 1.5 Petrol Titanium BSIV,Comprehensive,Petrol,5,"46,179",KA03,Second Owner,1497,Manual,2017,17,121.31,150,16,Jun,2017,60,6.99,Bangalore
Renault,Kiger RXZ Turbo CVT DT,Comprehensive,Petrol,5,"21,556",KA51,Second Owner,999,Automatic,2021,18.24,98.63,152,16,Jun,2021,20,10.33,Bangalore
Renault,Kiger RXZ,Third Party,Petrol,5,"5,198",KA42,First Owner,999,Manual,2021,19.17,71.01,96,16,Jun,2021,20,8.33,Bangalore
Renault,Kiger RXZ Turbo,Third Party,Petrol,5,"14,479",KA04,First Owner,999,Manual,2021,20.5,98.63,160,16,Jun,2021,20,9.18,Bangalore
Tata,Harrier XZ Plus,Third Party,Diesel,5,"11,944",KA04,First Owner,1956,Manual,2020,16.35,167.67,350,17,Jun,2020,30,20.95,Bangalore
Renault,Kiger RXZ,Third Party,Petrol,5,"8,200",KA02,First Owner,999,Manual,2021,19.17,71.01,96,16,Jun,2021,20,8.34,Bangalore
Volkswagen,Polo 1.0 TSI Highline Plus AT,Zero Dep,Petrol,5,"1,645",UP16,First Owner,999,Automatic,2021,16.47,108.62,175,R16,Jun,2021,20,8.5,Bangalore
Hyundai,i10 Sportz,Not Available,Petrol,5,"45,327",KA03,First Owner,1197,Manual,2011,20.36,78.9,111.8,13,May,2011,75,3.0,Bangalore
Hyundai,Creta SX Turbo Dualtone,Comprehensive,Petrol,5,"18,182",KA51,First Owner,1353,Automatic,2020,16.8,138.08,242,R17,Jun,2020,30,17.99,Bangalore
Maruti,Alto K10 VXI AGS Optional,Comprehensive,Petrol,5,"21,749",KA51,First Owner,998,Automatic,2019,23.95,67.1,90,,Jun,2019,40,4.85,Bangalore
Mahindra,XUV500 AT W10 AWD,Comprehensive,Diesel,7,"65,000",KA01,First Owner,2179,Automatic,2017,16,140,330,17,Mar,2017,60,15.5,Bangalore
Hyundai,i20 Sportz 1.4 CRDi,Third Party,Diesel,5,"80,000",KA02,Second Owner,1396,Manual,2013,21.9,88.76,219.6,14,Mar,2013,75,4.1,Bangalore
Skoda,Kushaq 1.0 TSI Style,Third Party,Petrol,5,"14,710",KA05,First Owner,999,Manual,2021,19.2,113.98,178,17,Jun,2022,20,15.99,Bangalore
Hyundai,Venue SX Plus Turbo DCT,Comprehensive,Petrol,5,"23,175",KA03,Second Owner,998,Automatic,2020,18.15,118.35,172,R16,Jul,2020,30,12.5,Bangalore
Maruti,Swift ZDi,Comprehensive,Diesel,5,"55,000",KA04,Second Owner,1248,Manual,2013,22.9,74,190,15,Mar,2013,75,5.25,Bangalore
Mercedes-Benz,E-Class Exclusive E 200,Comprehensive,Petrol,5,"90,000",KA01,First Owner,1991,Automatic,2017,15,194.4,300,17,Mar,2017,60,42.0,Bangalore
BMW,X1 sDrive20d xLine,Comprehensive,Diesel,5,"24,000",KA01,First Owner,1995,Automatic,2020,19.62,187.74,400,17,May,2020,30,42.0,Bangalore
Renault,Kiger RXZ Turbo CVT DT,Third Party,Petrol,5,"15,933",KA04,First Owner,999,Automatic,2021,18.24,98.63,152,16,Jun,2021,20,10.52,Bangalore
Renault,Kiger RXZ Turbo CVT DT,Third Party,Petrol,5,"17,413",KA04,First Owner,999,Automatic,2021,18.24,98.63,152,16,Jun,2021,20,11.22,Bangalore
Maruti,Celerio ZXI AMT,Comprehensive,Petrol,5,"12,187",KA04,First Owner,998,Automatic,2021,26,65.71,89,,Jun,2021,20,6.16,Bangalore
MG,Hector Sharp DCT,Comprehensive,Petrol,5,"31,200",KA02,First Owner,1451,Automatic,2021,,141,250,R18,Jul,2021,20,18.75,Bangalore
