Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Depreciation Rate (in %),Price (in lacs),City,RTO,Registration Month,Registration Year
Toyota,Fortuner 4x2 AT,Comprehensive,Diesel,7,"89,900",First Owner,2982,Automatic,2013,12.55,168.5,360,17,75,14.1,DelhiNCR,,,
Renault,Kiger RXT AMT Opt DT,Third Party,Petrol,5,"6,424",First Owner,999,Automatic,2022,19.03,71.01,96,16,15,8.42,DelhiNCR,UP14,Jun,2022
Renault,Kiger RXZ Turbo CVT,Third Party,Petrol,5,"12,793",First Owner,999,Automatic,2022,18.24,98.63,152,16,15,11.1,DelhiNCR,UP14,Jun,2022
Renault,Kiger RXZ AMT,Comprehensive,Petrol,5,"11,088",First Owner,999,Automatic,2021,19.03,71.01,96,16,20,9.24,DelhiNCR,UP13,Jun,2021
Mahindra,XUV300 W8,Third Party insurance,Petrol,5,"19,000",First Owner,1197,Manual,2020,16.82,108.62,200,16,30,9.95,DelhiNCR,,Mar,2020
Maruti,SX4 S Cross Alpha AT,Comprehensive,Petrol,5,"19,464",Second Owner,1462,Automatic,2020,18.43,103.25,138,16,30,10.87,DelhiNCR,HR26,Jun,2020
Honda,Amaze V CVT Petrol,Comprehensive,Petrol,5,"33,240",Second Owner,1199,Automatic,2020,18.3,88.76,110,R15,30,7.72,DelhiNCR,DL11,Jun,2020
Maruti,Alto 800 LXI,Third Party,Petrol,5,"20,589",First Owner,796,Manual,2018,24.7,47.3,69,,50,3.09,DelhiNCR,DL1C,Jun,2018
Hyundai,Creta 1.6 SX,Comprehensive,Petrol,5,"80,000",First Owner,1591,Manual,2017,15.8,121.3,151,17,60,9.75,DelhiNCR,UP16,May,2017
Honda,Amaze S i-Vtech,Comprehensive,Petrol,5,"41,592",First Owner,1198,Manual,2015,18,86.7,109,,75,4.15,DelhiNCR,DL8C,Jun,2015
Maruti,Swift Dzire VXI,Third Party insurance,Petrol,5,"15,000",First Owner,1197,Manual,2021,22.41,88.50,113,,20,7.1,DelhiNCR,HR26,Aug,2021
Nissan,Micra XV CVT,Comprehensive,Petrol,5,"38,062",First Owner,1198,Automatic,2016,19.34,76,104,15,70,4.3,DelhiNCR,DL8C,Nov,2016
Land,Rover Discovery Sport TD4 SE 7S,Comprehensive,Diesel,7,"67,000",First Owner,2179,Automatic,2016,12.83,147.5,400,17,70,24.35,DelhiNCR,UK07,May,2016
Maruti,Baleno 1.2 Zeta,Third Party insurance,Petrol,5,"4,600",First Owner,1197,Manual,2021,21.4,83.1,115,16,20,8.1,DelhiNCR,DL9C,Nov,2021
MG,ZS EV Exclusive,Comprehensive,Electric,5,"22,000",First Owner,0,Automatic,2023,,174.33,280,17,10,22.2,DelhiNCR,DL2M,Feb,2023
MG,Gloster Savvy 6-Str,Comprehensive,Diesel,6,"16,000",First Owner,1996,Automatic,2020,12.4,215.01,480,19,30,42.1,DelhiNCR,CH01,Feb,2020
Audi,A4 2.0 TDI Premium Plus,Comprehensive,Diesel,5,"55,000",First Owner,1968,Automatic,2015,17.11,174.33,380,17,75,14.9,DelhiNCR,HR13,Mar,2015
Maruti,Eeco 5 Seater AC,Third Party insurance,Petrol,5,"56,000",First Owner,1197,Manual,2017,19.71,79.65,104.4,,60,3.85,DelhiNCR,DL6C,Jul,2017
Volkswagen,Polo Petrol Highline 1.2L,Comprehensive,Petrol,5,"74,000",Second Owner,1198,Manual,2011,16.47,73.9,110,15,75,2.75,DelhiNCR,DL8C,Mar,2011
Audi,Q3 2.0 TDI Quattro Premium Plus,Third Party insurance,Diesel,5,"26,000",Second Owner,1968,Automatic,2014,15.73,174.33,380,16,75,13.45,DelhiNCR,HR26,May,2014
Maruti,Alto LXi,Third Party insurance,Petrol,5,"70,000",Second Owner,796,Manual,2008,19.7,46.3,62,12,75,0.75,DelhiNCR,,Mar,2008
Honda,Amaze E Petrol,Third Party,Petrol,5,"13,307",First Owner,1199,Manual,2020,18.6,88.76,110,,30,6.72,DelhiNCR,HR26,Jun,2020
Maruti,Celerio ZXI AMT BSIV,Third Party,Petrol,5,"19,688",First Owner,998,Automatic,2019,23.1,67.04,90,,40,5.11,DelhiNCR,DL8C,Jun,2019
Maruti,Swift VXI,Third Party,Petrol,5,"53,746",First Owner,1197,Manual,2012,18.6,85.8,114,14,75,3.33,DelhiNCR,HR51,Jun,2012
Land,Rover Discovery Sport TD4 SE 7S,Comprehensive,Diesel,7,"67,000",First Owner,2179,Automatic,2016,12.83,147.5,400,17,70,24.35,DelhiNCR,UK07,May,2016
Maruti,Wagon R VXI,Third Party,Petrol,5,"3,664",First Owner,998,Manual,2022,24.35,65.71,89,,15,6.06,DelhiNCR,HR51,Jun,2022
Maruti,Baleno 1.2 Delta,Comprehensive,Petrol,5,"36,276",First Owner,1197,Manual,2016,21.4,83.1,115,,70,5.67,DelhiNCR,DL2C,Jun,2016
Honda,Amaze V Petrol BSIV,Third Party,Petrol,5,"26,915",First Owner,1199,Manual,2018,19.5,88.76,110,,50,7.42,DelhiNCR,DL9C,Jun,2018
Toyota,Innova Crysta 2.7 ZX AT,Comprehensive,Petrol,7,"21,000",First Owner,2694,Automatic,2016,10.75,163.7,245,17,70,16.0,DelhiNCR,HR26,Nov,2016
Maruti,Alto 800 LXI,Third Party,Petrol,5,"27,252",Second Owner,796,Manual,2016,22.74,47.3,69,,70,2.53,DelhiNCR,DL3C,Jun,2016
Volkswagen,Polo Petrol Highline 1.2L,Comprehensive,Petrol,5,"74,000",Second Owner,1198,Manual,2011,16.47,73.9,110,15,75,2.75,DelhiNCR,DL8C,Mar,2011
Audi,Q3 2.0 TDI Quattro Premium Plus,Third Party insurance,Diesel,5,"26,000",Second Owner,1968,Automatic,2014,15.73,174.33,380,16,75,13.45,DelhiNCR,HR26,May,2014
Toyota,Innova Crysta 2.7 ZX AT BSIV,Comprehensive,Petrol,7,"50,000",First Owner,2694,Automatic,2017,10.75,163.7,245,17,60,18.0,DelhiNCR,HR26,Jun,2017
Hyundai,i20 Sportz 1.2,Third Party insurance,Petrol,5,"22,000",First Owner,1197,Manual,2016,18.6,81.83,114.7,,70,5.5,DelhiNCR,HR26,Feb,2016
Honda,Jazz S,Third Party insurance,Petrol,5,"58,000",Second Owner,1198,Manual,2012,16,90(,110 (11.,15,75,3.45,DelhiNCR,DL7C,Mar,2012
Hyundai,i10 Magna,Comprehensive,Petrol,5,"73,000",First Owner,1197,Manual,2013,20.36,78.9,111.7,13,75,3.15,DelhiNCR,DL8C,Mar,2013
Kia,Seltos GTX Plus,Comprehensive,Petrol,5,"60,000",First Owner,1353,Manual,2020,16.5,138.08,242,17,30,15.75,DelhiNCR,DL1C,Oct,2020
Mercedes-Benz,E-Class E250 CDI Avantgarde,Third Party insurance,Diesel,5,"65,231",Second Owner,2143,Automatic,2014,13,204,500,17,75,12.75,DelhiNCR,DL8C,Apr,2014
Hyundai,i10 Era,Third Party insurance,Petrol,5,"7,300",Second Owner,1086,Manual,2012,19.81,68.05,99.04,,75,1.85,DelhiNCR,DL7C,Jul,2012
Maruti,Celerio ZXI AT Optional,Comprehensive,Petrol,5,"36,000",First Owner,998,Automatic,2016,23.1,67.04,90,,70,3.95,DelhiNCR,HR26,Nov,2016
Toyota,Innova Crysta 2.4 GX MT,Comprehensive,Diesel,7,"20,000",First Owner,2393,Manual,2019,13.68,147.51,343,16,40,18.5,DelhiNCR,HR51,Apr,2019
Hyundai,Grand i10 1.2 Kappa Magna BSIV,Third Party,Petrol,5,"15,110",First Owner,1197,Manual,2017,18.9,81.86,113.75,,60,5.14,DelhiNCR,DL4C,Jun,2017
Renault,Kiger RXZ Turbo CVT DT,Third Party,Petrol,5,"2,350",First Owner,999,Automatic,2021,18.24,98.63,152,16,20,9.9,DelhiNCR,UP16,Jun,2021
Hyundai,i10 Magna,Comprehensive,Petrol,5,"66,372",First Owner,1197,Manual,2014,20.36,78.9,111.7,13,75,3.17,DelhiNCR,DL10,Jun,2014
BMW,X5 xDrive 30d Design Pure Experience 7 Seater,Comprehensive,Diesel,7,"69,000",Second Owner,2993,Automatic,2018,15.97,258,560,18,50,43.8,DelhiNCR,CH05,Jan,2018
Honda,Amaze V Petrol BSIV,Third Party,Petrol,5,"43,779",First Owner,1199,Manual,2018,19.5,88.76,110,,50,6.16,DelhiNCR,DL1C,Jun,2018
Honda,Amaze V CVT Petrol BSIV,Third Party,Petrol,5,"34,172",First Owner,1199,Automatic,2019,19,88.76,110,,40,8.2,DelhiNCR,DL4C,Jun,2019
Mahindra,Thar LX 4-Str Hard Top AT,Third Party,Petrol,4,"11,457",First Owner,1997,Automatic,2021,,150,320,18,20,14.96,DelhiNCR,HR70,Jun,2021
Maruti,Ciaz Zeta BSIV,Comprehensive,Petrol,5,"39,000",First Owner,1462,Manual,2017,21.56,103.25,138,15,60,7.25,DelhiNCR,DL8C,Jun,2017
Mahindra,XUV700 AX5 Diesel AT,Comprehensive,Diesel,5,"28,000",First Owner,2198,Automatic,2022,,182.38,450,17,15,22.75,DelhiNCR,DL14,Jul,2022
BMW,X5 xDrive 40i M Sport,Comprehensive,Petrol,5,"13,000",First Owner,2998,Automatic,2022,11.24,335.26,450,20,15,99.0,DelhiNCR,HR01,May,2022
Mahindra,Thar 4X4,Comprehensive,Diesel,7,"18,000",First Owner,2498,Manual,2014,16.55,105,247,,75,5.45,DelhiNCR,DL8C,Jul,2014
Audi,A3 35 TDI Premium Plus,Third Party insurance,Diesel,5,"72,000",First Owner,1968,Automatic,2015,20.38,143,320,17,75,13.45,DelhiNCR,DL1C,Jul,2015
Mercedes-Benz,E-Class E 250 Elegance,Third Party insurance,Petrol,5,"85,000",First Owner,2497,Automatic,2010,10.93,204,245,17,75,8.5,DelhiNCR,DL7C,Apr,2010
Toyota,Innova Crysta 2.8 ZX AT BSIV,Comprehensive,Diesel,7,"54,000",First Owner,2755,Automatic,2018,11.36,171.5,360,17,50,20.0,DelhiNCR,DL12,Sept,2018
Mahindra,Thar 4X4,Third Party insurance,Diesel,7,"58,000",Second Owner,2498,Manual,2014,16.55,105,247,,75,4.85,DelhiNCR,DL12,Feb,2014
Mahindra,Thar LX 4-Str Hard Top AT,Comprehensive,Petrol,4,"8,000",First Owner,1997,Automatic,2022,,150,320,18,15,16.75,DelhiNCR,JH01,Jul,2022
Honda,City i VTEC V,Comprehensive,Petrol,5,"69,000",First Owner,1497,Manual,2014,17.8,117.3,145,15,75,5.4,DelhiNCR,HR51,Oct,2014
Toyota,Innova Crysta 2.4 VX MT,Comprehensive,Diesel,7,"85,000",First Owner,2393,Manual,2017,13.68,147.51,343,16,60,15.9,DelhiNCR,UP16,Jul,2017
Maruti,Alto 800 LXI Opt,Third Party,Petrol,5,"10,961",First Owner,796,Manual,2020,22.05,47.33,69,,30,3.45,DelhiNCR,HR30,Jun,2020
Toyota,Innova Crysta 2.8 ZX AT BSIV,Comprehensive,Diesel,7,"85,000",First Owner,2755,Automatic,2018,11.36,171.5,360,17,50,19.9,DelhiNCR,HR26,Sept,2018
Tata,Tiago XT CNG,Comprehensive,CNG,5,"4,058",First Owner,1199,Manual,2022,26.49 ,72,95,,15,7.12,DelhiNCR,HR87,Jun,2022
Renault,KWID Climber 1.0 MT Opt,Comprehensive,Petrol,5,"9,243",First Owner,999,Manual,2021,21.74,67,91,,20,5.06,DelhiNCR,HR26,Jun,2021
Hyundai,i10 Magna,Third Party,Petrol,5,"72,229",First Owner,1197,Manual,2011,20.36,78.9,111.7,13,75,2.44,DelhiNCR,HR26,Jun,2011
Toyota,Innova Crysta 2.4 VX MT,Comprehensive,Diesel,7,"59,000",First Owner,2393,Manual,2018,13.68,147.51,343,16,50,18.0,DelhiNCR,DL10,Jun,2018
Toyota,Innova Crysta 2.8 GX AT 8S BSIV,Comprehensive,Diesel,8,"32,000",First Owner,2755,Automatic,2019,11.36,171.5,360,16,40,19.49,DelhiNCR,DL2C,Mar,2019
Jeep,Compass Model S DCT,Zero Dep,Petrol,5,"25,067",First Owner,1368,Automatic,2021,14.1,160.77,250,18,20,22.08,DelhiNCR,UP16,Jun,2021
Toyota,Fortuner 4X2 AT,Third Party insurance,Petrol,7,"98,000",First Owner,2694,Automatic,2014,10,163.60,245,17,75,14.25,DelhiNCR,DL2C,Apr,2014
Mahindra,Scorpio S10 4WD,Comprehensive,Diesel,7,"85,214",First Owner,2179,Manual,2015,15.4,120,280,17,75,9.25,DelhiNCR,DL12,Apr,2015
Jaguar,XE 2.0L Diesel Pure,Comprehensive,Diesel,5,"67,000",Second Owner,1999,Automatic,2018,13.6,177,430,17,50,24.95,DelhiNCR,UP16,Sept,2018
Ford,Ecosport 1.5 Diesel Trend Plus BSIV,Comprehensive,Diesel,5,"55,146",First Owner,1498,Manual,2015,23,98.96,205,,75,4.45,DelhiNCR,DL8C,Mar,2015
Mercedes-Benz,C-Class C 220 CDI BE Avantgare,Comprehensive,Diesel,5,"34,000",First Owner,2143,Automatic,2013,14.84,167.62,400,16,75,11.5,DelhiNCR,DL8C,Jul,2013
Hyundai,i20 Magna Optional 1.2,Third Party,Petrol,5,"55,051",First Owner,1197,Manual,2013,18.5,82.9,113.8,14,75,3.46,DelhiNCR,DL12,Jun,2013
Maruti,Alto 800 LXI Opt S-CNG,Zero Dep,CNG,4,"16,341",First Owner,796,Manual,2022,31.59 ,40.36,60,,15,5.19,DelhiNCR,DL11,Jun,2022
Maruti,Alto 800 LXI Opt S-CNG,Third Party,CNG,4,"21,936",First Owner,796,Manual,2021,31.59 ,40.36,60,,20,5.09,DelhiNCR,HR51,Jun,2021
Mercedes-Benz,E-Class E250 Edition E,Comprehensive,Diesel,5,"65,000",First Owner,2143,Automatic,2017,15,204,500,17,60,22.75,DelhiNCR,UP14,Jul,2017
Maruti,Swift ZXI,Comprehensive,Petrol,5,"68,525",First Owner,1197,Manual,2014,18.6,85.8,114,15,75,4.46,DelhiNCR,UP14,Jun,2014
Mahindra,Thar LX 4-Str Hard Top AT,Third Party,Petrol,4,"3,118",First Owner,1997,Automatic,2021,,150,320,18,20,16.42,DelhiNCR,HR06,Jun,2021
Tata,Tiago 1.2 Revotron XZ,Comprehensive,Petrol,5,"73,134",First Owner,1199,Manual,2018,23.84,84,114,14,50,4.51,DelhiNCR,DL3C,Jun,2018
Toyota,Camry 2.5 Hybrid,Third Party insurance,Petrol,5,"92,000",First Owner,2494,Automatic,2017,19.16,157.7,213,17,60,22.5,DelhiNCR,DL1C,Jul,2017
Mahindra,Thar LX 4-Str Hard Top AT,Comprehensive,Petrol,4,"11,684",First Owner,1997,Automatic,2021,,150,320,18,20,14.48,DelhiNCR,HR51,Jun,2021
Maruti,Swift VXI,Comprehensive,Petrol,5,"72,000",First Owner,1197,Manual,2017,21.21,81.80,113,,60,4.35,DelhiNCR,DL7B,Mar,2017
Maruti,Celerio VXI CNG BSIV,Third Party insurance,CNG,5,"47,000",First Owner,998,Manual,2018,31.79,58.33,78,,50,4.85,DelhiNCR,HR26,Mar,2018
Mercedes-Benz,E-Class E250 CDI Avantgarde,Comprehensive,Diesel,5,"16,000",First Owner,2143,Automatic,2015,13,204,500,17,75,25.5,DelhiNCR,DL2C,Aug,2015
Honda,City 1.5 V AT Sunroof,Comprehensive,Petrol,5,"69,000",Second Owner,1497,Automatic,2012,16.8,116.3,146,15,75,3.95,DelhiNCR,DL4D,Sept,2012
Mahindra,TUV 300 T8,Third Party insurance,Diesel,7,"72,000",First Owner,1493,Manual,2016,18.49,100,240,15,70,5.05,DelhiNCR,HR13,Mar,2016
Hyundai,Grand i10 Sportz,Third Party insurance,Petrol,5,"58,000",First Owner,1197,Manual,2016,18.9,82,114,,70,5.25,DelhiNCR,DL12,Mar,2016
Mercedes-Benz,GLS 350d 4MATIC,Comprehensive,Diesel,7,"70,000",First Owner,2987,Automatic,2017,11,258,620,20,60,57.75,DelhiNCR,HR26,Jul,2017
Hyundai,i10 Era,Third Party insurance,Petrol,5,"81,000",First Owner,1086,Manual,2011,19.81,68.05,99.04,,75,1.95,DelhiNCR,DL10,Mar,2011
