Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Mileage (in kmpl)
Tata,Nexon EV Prime XZ Plus,Third Party insurance,Electric,5,"19,900",TS09,First Owner,0,Automatic,2021,127,245,16,Jun,2021,20,15.95,Bangalore,
Tata,Tiago 1.2 Revotron XZ,Comprehensive,Petrol,5,"14,180",TS09,First Owner,1199,Manual,2016,84,114,14,Jun,2016,70,4.5,Bangalore,23.84
Toyota,Urban cruiser Mid,Comprehensive,Petrol,5,"59,186",TS03,First Owner,1462,Manual,2021,103.26,138,,Jun,2021,20,9.07,Bangalore,17.03
Hyundai,i10 Magna,Third Party,Petrol,5,"84,589",HR51,First Owner,1197,Manual,2011,78.9,111.7,13,Jun,2011,75,1.97,Bangalore,20.36
Hyundai,Venue SX Plus Turbo DCT,Third Party insurance,Petrol,5,"15,000",TS08,First Owner,998,Automatic,2021,118.35,172,R16,Jun,2021,20,12.5,Bangalore,18.15
Renault,KWID Climber 1.0 AMT,Third Party,Petrol,5,"30,958",TS08,First Owner,999,Automatic,2018,67,91,,Jun,2018,50,4.59,Bangalore,24.04
Honda,Amaze VX CVT Petrol,Third Party,Petrol,5,"20,596",TS07,First Owner,1199,Automatic,2021,88.76,110,R15,Jun,2021,20,8.62,Bangalore,18.3
Datsun,RediGO AMT 1.0 S,Comprehensive,Petrol,5,"27,865",TS07,First Owner,999,Automatic,2018,67,91,,Jun,2018,50,3.83,Bangalore,23
Maruti,Swift VXI,Comprehensive,Petrol,5,"58,441",TS09,First Owner,1197,Manual,2018,81.80,113,,Jun,2018,50,6.41,Bangalore,21.21
Mahindra,Scorpio S11 BSIV,Comprehensive,Diesel,7,"21,212",TS10,First Owner,2179,Manual,2020,140,320,17,Jun,2020,30,17.91,Bangalore,16.36
Tata,Tiago 1.2 Revotron XZA,Third Party,Petrol,5,"25,724",TS07,Second Owner,1199,Automatic,2018,83.83,114,14,Jun,2018,50,6.02,Bangalore,23.84
Toyota,Fortuner 4X4 Diesel AT,Third Party insurance,Diesel,7,"22,000",AP39,First Owner,2755,Automatic,2021,201.15,500,18,Sept,2021,20,49.0,Bangalore,
MG,Hector Sharp CVT,Third Party insurance,Petrol,5,"26,888",TS10,First Owner,1451,Automatic,2021,141,250,18,Mar,2021,20,20.25,Bangalore,
Audi,A6 2.0 TDI,Third Party insurance,Diesel,5,"1,11,747",TS09,First Owner,1968,Automatic,2013,174.33,380,17,Sept,2013,75,11.75,Bangalore,17.68
Hyundai,EON Magna Plus,Comprehensive,Petrol,5,"68,000",TS07,First Owner,814,Manual,2015,55.2,74.5,,Sept,2015,75,2.95,Bangalore,21.1
Mahindra,Thar CRDe ABS,Comprehensive,Diesel,6,"42,000",TS08,First Owner,2498,Manual,2018,105,247,16,May,2018,50,10.5,Bangalore,16.55
Maruti,Alto K10 VXI,Comprehensive,Petrol,5,"52,474",TS08,Second Owner,998,Manual,2014,67.05,90,,Jun,2014,75,2.82,Bangalore,23.95
Renault,Duster Petrol RXS CVT,Third Party,Petrol,5,"27,076",TS03,Second Owner,1498,Automatic,2018,104.5,142,,Jun,2018,50,8.09,Bangalore,14.99
Hyundai,Verna VTVT 1.6 SX,Comprehensive,Petrol,5,"27,327",TS10,First Owner,1591,Manual,2018,121.3,151,16,Jun,2018,50,8.9,Bangalore,17
Maruti,Wagon R LXI BS IV,Third Party,Petrol,5,"70,416",TS09,First Owner,998,Manual,2014,67.04,90,,Jun,2014,75,3.48,Bangalore,20.51
Maruti,Baleno 1.2 Zeta,Third Party,Petrol,5,"28,197",TS13,First Owner,1197,Manual,2019,83.1,115,16,Jun,2019,40,7.8,Bangalore,21.4
Hyundai,Verna CRDi 1.6 AT SX Option,Third Party,Diesel,5,"46,651",TS15,First Owner,1582,Automatic,2018,126.2,259.87,16,Jun,2018,50,11.01,Bangalore,22
Maruti,Swift VDI,Comprehensive,Diesel,5,"72,019",AP28,Second Owner,1248,Manual,2012,74,190,14,Jun,2012,75,4.21,Bangalore,22.9
Toyota,Urban cruiser Premium AT,Third Party,Petrol,5,"25,959",TS07,First Owner,1462,Automatic,2021,103.26,138,16,Jun,2021,20,11.43,Bangalore,18.76
Hyundai,Creta 1.6 CRDi SX,Third Party insurance,Diesel,5,"85,768",TS09,First Owner,1582,Manual,2015,126.2,259.9,16,May,2015,75,9.8,Bangalore,19.67
Maruti,Celerio ZXI AMT,Third Party insurance,Petrol,5,"15,437",TS11,First Owner,998,Automatic,2020,67.05,90,,May,2020,30,6.2,Bangalore,21.63
Maruti,Vitara Brezza ZDi,Third Party insurance,Diesel,5,"76,000",TS09,Second Owner,1248,Manual,2016,88.5,200,16,Jul,2016,70,7.9,Bangalore,24.3
BMW,X1 sDrive 20d xLine,Comprehensive,Diesel,5,"30,600",TS09,First Owner,1995,Automatic,2019,188,400,17,Feb,2020,40,33.0,Bangalore,20.68
Maruti,Vitara Brezza ZDi,Third Party insurance,Diesel,5,"78,000",TS08,First Owner,1248,Manual,2019,88.5,200,16,May,2019,40,10.4,Bangalore,24.3
Hyundai,Venue SX Plus Turbo DCT BSIV,Third Party insurance,Petrol,5,"30,000",,First Owner,998,Automatic,2020,118.35,171.6,16,Mar,2020,30,11.0,Bangalore,18.15
Honda,City ZX MT,Third Party insurance,Petrol,5,"30,000",,First Owner,1498,Manual,2021,119.35,145,16,Mar,2021,20,14.0,Bangalore,18.6
Hyundai,Grand i10 Nios Magna CRDi,Third Party insurance,Diesel,5,"50,000",,First Owner,1186,Manual,2021,73.97,190.24,,Mar,2021,20,7.0,Bangalore,26.2
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"53,601",TS08,First Owner,998,Manual,2018,67.04,90,,Jun,2018,50,3.98,Bangalore,20.51
Kia,Seltos HTX IVT G,Zero Dep,Petrol,5,"47,946",TS09,First Owner,1497,Automatic,2020,113.42,144,R17,Jun,2020,30,14.13,Bangalore,16.8
Nissan,Magnite XV Premium,Third Party,Petrol,5,"8,857",TS07,First Owner,999,Manual,2021,71.02,96,16,Jun,2021,20,9.53,Bangalore,18.75
Hyundai,i20 Asta 1.2,Comprehensive,Petrol,5,"61,772",TS07,First Owner,1197,Manual,2014,81.83,114.7,16,Jun,2014,75,5.82,Bangalore,18.6
Maruti,Alto K10 VXI,Third Party,Petrol,5,"54,489",TS15,First Owner,998,Manual,2018,67.05,90,,Jun,2018,50,4.18,Bangalore,23.95
Hyundai,Verna 1.6 VTVT AT SX,Comprehensive,Petrol,5,"42,903",TS09,First Owner,1591,Automatic,2017,121.3,154.9,16,Jun,2017,60,8.68,Bangalore,17.01
Maruti,Swift Dzire VXI,Third Party,Petrol,5,"43,302",TS11,First Owner,1197,Manual,2017,83.14,115,,Jun,2017,60,6.38,Bangalore,20.85
Maruti,Celerio VXI CNG,Third Party,CNG,5,"1,364",TS03,First Owner,998,Manual,2022,55.92,82.1,,Jun,2022,15,7.26,Bangalore,35.6 
Hyundai,Verna S,Comprehensive,Petrol,5,"31,273",TS08,Second Owner,1497,Manual,2020,113.42,144.15,,Jun,2020,30,10.25,Bangalore,17.7
Toyota,Urban cruiser High,Third Party,Petrol,5,"41,903",TS12,First Owner,1462,Manual,2021,103.26,138,16,Jun,2021,20,9.86,Bangalore,17.03
Maruti,SX4 S Cross Alpha AT,Comprehensive,Petrol,5,"42,257",TS02,First Owner,1462,Automatic,2020,103.25,138,16,Jun,2020,30,11.29,Bangalore,18.43
Maruti,S-Presso VXi Plus,Third Party,Petrol,5,"6,981",TS08,First Owner,998,Manual,2022,65.71,89,,Jun,2022,15,5.63,Bangalore,24.76
BMW,3 Series Gran Limousine 330Li M Sport First Edition,Third Party insurance,Petrol,5,"13,000",TS08,First Owner,1998,Automatic,2021,254.79,400,R18,Sept,2021,20,57.0,Bangalore,15.3
Kia,Sonet GTX Plus Turbo DCT,Third Party insurance,Petrol,5,"13,500",TS09,First Owner,998,Automatic,2020,118.36,172,16,Jul,2020,30,14.5,Bangalore,18.3
Kia,Seltos GTX Plus DCT,Third Party insurance,Petrol,5,"24,000",TS10,First Owner,1353,Automatic,2020,138.08,242,17,Sept,2020,30,17.99,Bangalore,16.5
Maruti,Ertiga 1.5 VDI,Third Party insurance,Diesel,7,"53,200",TS07,First Owner,1498,Manual,2018,93.87,225,,May,2018,50,11.65,Bangalore,24.2
Ford,Ecosport 1.5 Petrol Trend BSIV,Third Party insurance,Petrol,5,"49,700",TS09,First Owner,1497,Manual,2018,121.36,150,,Jun,2018,50,6.99,Bangalore,17
Maruti,Alto 800 LXI,Third Party insurance,Petrol,5,"62,203",TS08,First Owner,796,Manual,2018,47.3,69,,Apr,2018,50,3.4,Bangalore,24.7
