Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,Car Location
Toyota,Innova Crysta 2.7 ZX AT BSIV,Comprehensive,Petrol,7,"50,000",HR26,First Owner,2694,Automatic,2017,10.75,163.7,245,17,Jun,2017,60,18.0,Jaipur,
Maruti,Celerio ZXI MT BSIV,Comprehensive,Petrol,5,"26,282",RJ45,Second Owner,998,Manual,2019,23.1,67.04,90,,Jun,2019,40,4.59,Jaipur,
Maruti,Celerio VXI CNG,Third Party,CNG,5,"20,858",RJ45,First Owner,998,Manual,2022,35.6 ,55.92,82.1,,Jun,2022,15,7.07,Jaipur,
Maruti,Celerio ZXI MT BSIV,Third Party,Petrol,5,"56,096",RJ31,First Owner,998,Manual,2018,23.1,67.04,90,,Jun,2018,50,4.54,Jaipur,
Toyota,Innova Crysta 2.8 ZX AT BSIV,Comprehensive,Diesel,7,"54,000",DL12,First Owner,2755,Automatic,2018,11.36,171.5,360,17,Sept,2018,50,20.0,Jaipur,
Tata,Tiago NRG Petrol AMT,Third Party,Petrol,5,"22,889",RJ45,Second Owner,1199,Automatic,2019,24,83.81,114,14,Jun,2019,40,5.64,Jaipur,
Maruti,Celerio ZXI MT BSIV,Third Party,Petrol,5,"38,421",RJ51,First Owner,998,Manual,2019,23.1,67.04,90,,Jun,2019,40,5.06,Jaipur,
Renault,KWID 1.0 RXT AMT,Third Party,Petrol,5,187,RJ45,First Owner,999,Automatic,2022,22.3,67.06,91,,Jun,2022,15,5.4,Jaipur,
Mercedes-Benz,C-Class Progressive C 200,Comprehensive,Petrol,5,"20,000",UP14,First Owner,1950,Automatic,2020,11.9,201.15,280,17,Nov,2020,30,45.0,Jaipur,
Maruti,Swift Dzire VXI 1.2,Third Party,Petrol,5,"10,369",RJ45,First Owner,1197,Manual,2019,21.21,81.80,113,,Jun,2019,40,7.04,Jaipur,
Mahindra,TUV 300 mHAWK100 T8,Third Party insurance,Diesel,7,"1,20,000",,Second Owner,1493,Manual,2017,18.49,100,240,15,Mar,2017,60,5.9,Jaipur,
Hyundai,i20 Sportz Plus,Comprehensive,Petrol,5,"50,181",RJ45,First Owner,1197,Manual,2019,18.6,81.86,117,15,Jun,2019,40,6.85,Jaipur,
Toyota,Innova Crysta 2.8 ZX AT BSIV,Comprehensive,Diesel,7,"85,000",HR26,First Owner,2755,Automatic,2018,11.36,171.5,360,17,Sept,2018,50,19.9,Jaipur,
Honda,City 1.5 V AT,Comprehensive,Petrol,5,"61,000",RJ45,Second Owner,1497,Automatic,2009,16.8,"118PS at 6,600 ",146Nm at 4800 r,15,Nov,2009,75,3.25,Jaipur,
Maruti,Vitara Brezza VDi,Comprehensive,Diesel,5,"44,600",RJ40,First Owner,1248,Manual,2019,24.3,88.5,200,,Oct,2019,40,8.9,Jaipur,
Maruti,Swift VXI 2018,Comprehensive,Petrol,5,"54,000",RJ23,First Owner,1197,Manual,2020,22,81.80,113,,Nov,2020,30,6.5,Jaipur,
Toyota,Innova Crysta 2.4 GX MT,Comprehensive,Diesel,7,"20,000",HR51,First Owner,2393,Manual,2019,13.68,147.51,343,16,Apr,2019,40,18.5,Jaipur,
Mahindra,XUV700 AX7 AT Luxury Pack,Comprehensive,Petrol,7,"23,074",RJ45,Second Owner,1999,Automatic,2021,,197.13,380,18,Oct,2021,20,23.5,Jaipur,
Hyundai,i20 1.2 Asta Option,Comprehensive,Petrol,5,"60,000",RJ45,Second Owner,1197,Manual,2018,18.6,81.83,114.7,16,Jul,2018,50,6.5,Jaipur,
Toyota,Fortuner 4x2 Manual,Comprehensive,Diesel,7,"1,30,995",RJ14,Second Owner,2982,Manual,2013,13,168.5,343,17,Oct,2013,75,14.0,Jaipur,
MG,Hector Plus Sharp Diesel MT,Comprehensive,Diesel,6,"19,000",DL10,First Owner,1956,Manual,2021,16.65,167.67,350,18,Jul,2021,20,21.0,Jaipur,
Maruti,Baleno 1.2 Delta,Comprehensive,Petrol,5,"13,053",RJ45,First Owner,1197,Manual,2019,21.4,83.1,115,,Jun,2019,40,6.9,Jaipur,
Hyundai,i20 Asta Turbo DCT,Third Party,Petrol,5,"5,283",RJ06,First Owner,998,Automatic,2021,20.28,118.36,171.62,R16,Jun,2021,20,10.55,Jaipur,
Renault,KWID RXL,Third Party,Petrol,5,"36,984",RJ02,Second Owner,799,Manual,2018,25.17,53.3,72,,Jun,2018,50,3.65,Jaipur,
Toyota,Fortuner 2.5 4x2 AT TRD Sportivo,Comprehensive,Diesel,7,"1,35,000",DL10,First Owner,2494,Automatic,2015,12.55,142,343,17,Feb,2015,75,15.5,Jaipur,
Hyundai,Creta 1.6 CRDi SX,Third Party,Diesel,5,"70,497",RJ45,First Owner,1582,Manual,2018,19.67,126.2,259.9,16,Jun,2018,50,11.36,Jaipur,
Renault,KWID RXL BSIV,Third Party,Petrol,5,"10,110",RJ45,First Owner,799,Manual,2019,25.17,53.3,72,,Jun,2019,40,3.95,Jaipur,
Maruti,Celerio X AMT ZXI BSIV,Third Party,Petrol,5,"84,413",RJ21,First Owner,998,Automatic,2018,21.63,67,90,,Jun,2018,50,4.95,Jaipur,
MG,Gloster Sharp 7-Str,Comprehensive,Diesel,7,"80,000",UP63,First Owner,1996,Automatic,2021,12.4,215.01,480,19,Feb,2021,20,34.5,Jaipur,
Maruti,Swift VXI,Third Party,Petrol,5,"15,184",RJ02,First Owner,1197,Manual,2020,21.21,81.80,113,,Jun,2020,30,6.58,Jaipur,
Hyundai,Creta 1.6 CRDi SX,Comprehensive,Diesel,5,"1,16,580",RJ14,Second Owner,1582,Manual,2015,19.67,126.2,259.9,16,Sept,2015,75,8.25,Jaipur,
