Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City,RTO,Wheel Size
Hyundai,Xcent 1.2 VTVT S,Third Party insurance,Petrol,5,"30,000",First Owner,1197,Manual,2018,20.14,81.86,113.75,Mar,2018,50,4.0,Kolkata,,
Kia,Seltos HTX IVT G,Comprehensive,Petrol,5,"11,720",First Owner,1497,Automatic,2021,16.8,113.42,144,Mar,2021,20,14.48,Kolkata,WB08,R17
Maruti,Alto 800 LXI,Comprehensive,Petrol,5,"20,145",First Owner,796,Manual,2018,24.7,47.3,69,Jun,2018,50,3.06,Kolkata,WB06,
Maruti,Wagon R LXI BS IV,Comprehensive,Petrol,5,"29,037",First Owner,998,Manual,2013,18.9,67.1,90,Jun,2013,75,2.48,Kolkata,WB02,13
Maruti,Alto 800 VXI,Comprehensive,Petrol,5,"12,892",Second Owner,796,Manual,2020,22.05,47.33,69,Jun,2020,30,3.56,Kolkata,WB18,
Maruti,Alto 800 LXI,Third Party,Petrol,5,"45,455",First Owner,796,Manual,2013,22.74,47.3,69,Jun,2013,75,2.25,Kolkata,WB02,
Honda,City V CVT,Comprehensive,Petrol,5,"19,006",First Owner,1497,Automatic,2019,17.4,117.6,145,Sept,2019,40,9.11,Kolkata,WB30,15
Maruti,Alto 800 LXI,Third Party,Petrol,5,"32,252",First Owner,796,Manual,2019,22.05,47.33,69,Jun,2019,40,3.3,Kolkata,WB26,
Maruti,Swift RS VXI,Comprehensive,Petrol,5,"42,793",First Owner,1197,Manual,2014,18.6,85.8,114,Jun,2014,75,3.66,Kolkata,WB20,14
Maruti,Wagon R VXI BS IV,Comprehensive,Petrol,5,"40,371",First Owner,998,Manual,2014,20.51,67.04,90,Jun,2014,75,2.91,Kolkata,WB02,
Maruti,Swift VXI,Third Party,Petrol,5,"11,024",First Owner,1197,Manual,2015,21.21,81.80,113,Jun,2015,75,4.18,Kolkata,WB24,
Maruti,Wagon R VXI BS IV,Comprehensive,Petrol,5,"69,217",First Owner,998,Manual,2012,18.9,67.1,90,Jun,2012,75,2.46,Kolkata,WB06,14
Mahindra,XUV500 W11 AT BSIV,Comprehensive,Diesel,7,"50,136",Second Owner,2179,Automatic,2018,15.1,152.87,360,Aug,2018,50,12.0,Kolkata,WB12,17
Renault,Duster 85PS Diesel RxL,Comprehensive,Diesel,5,"1,37,000",First Owner,1461,Manual,2014,20.45,83.8,200,Jul,2014,75,2.25,Kolkata,WB02,16
Maruti,Swift LXI Option SP Limited Edition,Third Party insurance,Petrol,5,"70,000",First Owner,1197,Manual,2016,20.4,83.11,115,Mar,2016,70,3.5,Kolkata,,
Maruti,Celerio VXI AT,Comprehensive,Petrol,5,"56,014",First Owner,998,Automatic,2014,23.1,67.04,90,Jun,2014,75,3.05,Kolkata,WB08,
Maruti,A-Star Lxi,Comprehensive,Petrol,5,"66,018",Second Owner,998,Manual,2010,19,66.1,90,Jul,2010,75,1.51,Kolkata,WB06,13
Maruti,Baleno 1.2 Alpha,Comprehensive,Petrol,5,"26,019",First Owner,1197,Manual,2019,21.4,83.1,115,Jan,2019,40,6.35,Kolkata,WB02,16
Maruti,Wagon R VXI,Comprehensive,Petrol,5,"36,000",First Owner,998,Manual,2017,21.79,67.05,90,Dec,2017,60,3.65,Kolkata,WB54,
Maruti,Ciaz 1.4 Zeta,Third Party insurance,Petrol,5,"54,700",First Owner,1373,Manual,2017,20.73,91.1,130,Nov,2017,60,4.95,Kolkata,WB02,15
Maruti,Alto 800 VXI,Third Party,Petrol,5,"25,769",Second Owner,796,Manual,2016,22.74,47.3,69,Jun,2016,70,2.64,Kolkata,WB20,
Maruti,Alto 800 LXI,Third Party,Petrol,5,"42,000",First Owner,796,Manual,2017,24.7,47.3,69,Jun,2017,60,2.91,Kolkata,WB24,
Maruti,Alto 800 VXI,Third Party,Petrol,5,"13,766",First Owner,796,Manual,2020,22.05,47.33,69,Jun,2020,30,3.96,Kolkata,WB02,
Volkswagen,Ameo 1.2 MPI Comfortline,Third Party,Petrol,5,"60,741",First Owner,1198,Manual,2017,17,73.75,110,Jun,2017,60,3.93,Kolkata,WB06,
Ford,Ecosport 1.5 Petrol Trend,Third Party,Petrol,5,"15,489",First Owner,1496,Manual,2020,15.9,120.69,149,Jun,2020,30,7.59,Kolkata,WB26,
Maruti,Wagon R VXI BS IV,Comprehensive,Petrol,5,"23,343",Second Owner,998,Manual,2018,20.51,67.04,90,Jun,2018,50,4.1,Kolkata,WB24,
Hyundai,i20 Magna 1.2,Third Party,Petrol,5,"39,522",Second Owner,1197,Manual,2016,18.6,81.83,114.7,Jun,2016,70,4.23,Kolkata,WB02,
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"28,352",Second Owner,998,Manual,2016,20.51,67.04,90,Jun,2016,70,3.47,Kolkata,WB02,
Maruti,Alto 800 VXI,Third Party,Petrol,5,"40,303",First Owner,796,Manual,2016,22.74,47.3,69,Jun,2016,70,2.64,Kolkata,WB02,
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"13,444",Second Owner,998,Manual,2017,20.51,67.04,90,Jun,2017,60,4.14,Kolkata,WB02,
Hyundai,Creta 1.6 CRDi SX Plus,Comprehensive,Diesel,5,"72,309",First Owner,1582,Manual,2017,19.67,126.2,259.9,Jun,2017,60,8.91,Kolkata,WB20,16
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"31,236",Second Owner,998,Manual,2014,20.51,67.04,90,Jun,2014,75,3.21,Kolkata,WB08,
Kia,Carnival Limousine,Third Party insurance,Diesel,7,"13,200",First Owner,2199,Automatic,2020,14.11,197.26,440,Dec,2020,30,30.0,Kolkata,WB08,18
Skoda,Kushaq 1.0 TSI Ambition AT,Third Party insurance,Petrol,5,"8,700",,999,Automatic,2021,17.2,113.98,178,,,20,12.75,Kolkata,,16
Hyundai,i10 Sportz,Comprehensive,Petrol,5,"42,041",Second Owner,1197,Manual,2011,20.36,78.9,111.8,May,2011,75,2.25,Kolkata,WB06,13
Maruti,Ignis Delta,Comprehensive,Petrol,5,"44,023",First Owner,1197,Manual,2018,20.89,81.80,113,Feb,2018,50,4.05,Kolkata,WB02,
Maruti,Ertiga VXI,Comprehensive,Petrol,7,"80,041",First Owner,1462,Manual,2019,19.01,103.26,138,Mar,2019,40,8.05,Kolkata,WB16,
Maruti,Swift VXI,Comprehensive,Petrol,5,"25,041",First Owner,1197,Manual,2020,21.21,81.80,113,Jun,2020,30,5.75,Kolkata,WB16,
Honda,City i VTEC VX,Comprehensive,Petrol,5,"45,000",First Owner,1497,Manual,2016,17.4,117.3,145,May,2016,70,6.11,Kolkata,WB06,15
Tata,Nexon XZ Plus (O) Diesel,Comprehensive,Diesel,5,"7,500",First Owner,1497,Manual,2020,21.19,108.49,260,Dec,2020,30,11.0,Kolkata,WB02,16
Maruti,Swift VXI,Third Party,Petrol,5,"19,034",Second Owner,1197,Manual,2012,18.6,85.8,114,Jun,2012,75,3.07,Kolkata,WB02,14
Hyundai,Xcent 1.2 Kappa S Option,Comprehensive,Petrol,5,"54,361",Second Owner,1197,Manual,2014,19.1,81.86,113.75,Jun,2014,75,3.23,Kolkata,WB26,14
Maruti,Wagon R VXI BS IV,Third Party,Petrol,5,"32,532",Second Owner,998,Manual,2016,20.51,67.04,90,Jun,2016,70,3.47,Kolkata,WB02,
Maruti,Alto 800 VXI,Comprehensive,Petrol,5,"92,885",First Owner,796,Manual,2014,22.74,47.3,69,Jun,2014,75,2.16,Kolkata,WB06,
Honda,Jazz ZX,Comprehensive,Petrol,5,"9,405",First Owner,1199,Manual,2021,17.1,88.50,110,Jun,2021,20,8.25,Kolkata,WB12,15
Maruti,Ritz Genus VXi,Comprehensive,Petrol,5,"44,833",Second Owner,1197,Manual,2010,18.5,85 PS at 6000,113Nm at 4500r,Jun,2010,75,1.96,Kolkata,WB06,14
Hyundai,Creta 1.4 CRDi S Plus,Comprehensive,Diesel,5,"88,520",First Owner,1396,Manual,2016,21.38,88.7,219.7,Jun,2016,70,7.48,Kolkata,WB02,16
