Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Depreciation Rate (in %),Price (in lacs),City,RTO,Registration Month,Registration Year
Maruti,Ciaz ZDi SHVS,Comprehensive,Diesel,5,"78,000",First Owner,1248,Manual,2016,28.09,88.5,200,15,70,6.99,Mumbai,,,
Renault,Kiger RXT AMT,Comprehensive,Petrol,5,"6,327",First Owner,999,Automatic,2021,19.03,71.01,96,,20,8.08,Mumbai,MH43,Jun,2021
Renault,Kiger RXZ AMT DT,Third Party,Petrol,5,"18,842",First Owner,999,Automatic,2021,19.03,71.01,96,16,20,8.54,Mumbai,MH12,Jun,2021
Maruti,Swift VXI,Comprehensive,Petrol,5,"29,299",First Owner,1197,Manual,2015,21.21,81.80,113,,75,4.29,Mumbai,MH01,Jun,2015
BMW,6 Series GT 630d M Sport,Comprehensive,Diesel,4,"23,500",First Owner,2993,Automatic,2018,17.09,261.4,620,19,50,62.7,Mumbai,MH02,Sept,2018
Volkswagen,Polo Cup Edition Comfortline,Comprehensive,Petrol,5,"11,585",First Owner,999,Manual,2019,18.78,75,95,15,40,6.61,Mumbai,MH04,Jun,2019
Hyundai,i20 Magna 1.2,Third Party,Petrol,5,"22,128",First Owner,1197,Manual,2015,18.6,81.83,114.7,,75,4.89,Mumbai,MH02,Jun,2015
Audi,Q7 35 TDI Quattro Technology,Comprehensive,Diesel,7,"71,000",First Owner,2967,Automatic,2017,12.07,241.4,550,18,60,46.65,Mumbai,MH02,Jun,2017
Nissan,Micra XV,Third Party insurance,Petrol,5,"55,630",First Owner,1198,Manual,2011,18.06,75,104,14,75,2.5,Mumbai,MH02,Jan,2011
Maruti,Wagon R LXI BS IV,Comprehensive,Petrol,5,"7,400",First Owner,998,Manual,2015,20.51,67.04,90,,75,3.75,Mumbai,MH02,Aug,2015
BMW,5 Series 520d Luxury Line,Comprehensive,Diesel,5,"68,000",First Owner,1995,Automatic,2016,18.12,190,400,18,70,22.75,Mumbai,MH01,Jun,2016
Volkswagen,Taigun 1.0 TSI Topline,Third Party,Petrol,5,"3,092",First Owner,999,Manual,2022,20.08,113.98,178,17,15,16.75,Mumbai,MH04,Jan,2022
Maruti,Swift Dzire AMT ZXI,Zero Dep,Petrol,5,"24,465",First Owner,1197,Automatic,2019,21.21,81.80,113,15,40,7.25,Mumbai,MH47,Jul,2019
Toyota,Corolla Altis 1.8 G CVT,Third Party insurance,Petrol,5,"19,979",First Owner,1798,Automatic,2018,14.28,138.03,173,16,50,12.5,Mumbai,MH02,Jan,2018
Bentley,Continental Flying Spur BSIV,Third Party insurance,Petrol,4,"95,000",Second Owner,5998,Automatic,2009,8.6,552,650,19,75,67.5,Mumbai,MH01,Dec,2009
Honda,City i VTEC CVT SV,Comprehensive,Petrol,5,"67,000",First Owner,1497,Automatic,2015,18,117.3,145,,75,6.55,Mumbai,MH02,Mar,2015
Hyundai,Elantra SX AT,Zero Dep,Petrol,5,"36,376",First Owner,1797,Automatic,2016,14.5,147.4,177.5,16,70,9.0,Mumbai,MH48,May,2016
Renault,KWID 1.0 AMT RXT,Comprehensive,Petrol,5,"52,300",First Owner,999,Automatic,2016,24.04,67,91,,70,3.15,Mumbai,MH43,Jan,2017
Volkswagen,Polo 1.2 MPI Highline,Comprehensive,Petrol,5,"35,000",First Owner,1199,Manual,2016,16.2,74,110,15,70,5.55,Mumbai,MH04,Jun,2016
