Brand,Model,Insurance Validity,Fuel Type,Seats,Kms Driven (in kms),RTO,Ownership,Engine Displacement (in cc),Transmission,Year of Manufacture,Mileage (in kmpl),Max Power (in bhp),Torque (in nm),Wheel Size,Registration Month,Registration Year,Depreciation Rate (in %),Price (in lacs),City
Toyota,Fortuner 4x2 Manual,Third Party insurance,Diesel,7,"2,29,000",MH14,Second Owner,2982,Manual,2015,13,168.5,343,17,Jun,2015,75,14.25,Mumbai
Maruti,Wagon R CNG LXI Opt,Third Party,CNG,5,"65,000",MH14,First Owner,998,Manual,2020,32.52,58.33,78,,Mar,2020,30,5.95,Mumbai
Toyota,Urban cruiser Premium,Third Party,Petrol,5,"5,853",MH12,First Owner,1462,Manual,2022,17.03,103.26,138,16,Jun,2022,15,10.25,Mumbai
Honda,Jazz 1.2 V AT i VTEC,Third Party,Petrol,5,"55,745",MH47,Second Owner,1199,Automatic,2016,19,88.7,110,15,Jun,2016,70,5.78,Mumbai
Honda,Jazz 1.2 SV i VTEC,Comprehensive,Petrol,5,"56,929",MH12,First Owner,1199,Manual,2017,18.7,88.7,110,,Jun,2017,60,5.92,Mumbai
Maruti,Swift Dzire VXI,Third Party,Petrol,5,"52,723",MH12,First Owner,1197,Manual,2014,19.1,85.8,114,14,Jun,2014,75,4.93,Mumbai
Hyundai,Grand i10 1.2 Kappa Sportz Option AT,Third Party,Petrol,5,"60,998",MH14,Second Owner,1197,Automatic,2017,18.9,81.86,113.75,14,Jun,2017,60,5.66,Mumbai
Maruti,Alto K10 LXI,Third Party,Petrol,5,"90,156",MH14,First Owner,998,Manual,2012,20.92,67.1,90,13,Jun,2012,75,2.01,Mumbai
Hyundai,Santro Sportz BSIV,Comprehensive,Petrol,5,"30,180",MH12,First Owner,1086,Manual,2019,20.3,68,99,,Jun,2019,40,5.16,Mumbai
Volkswagen,Polo 1.2 MPI Highline,Third Party,Petrol,5,"43,960",MH06,First Owner,1199,Manual,2017,16.2,74,110,15,Jun,2017,60,6.25,Mumbai
Ford,Ecosport 1.5 Petrol Trend,Third Party,Petrol,5,"17,272",MH14,First Owner,1496,Manual,2021,15.9,120.69,149,,Jun,2021,20,8.38,Mumbai
Renault,KWID 1.0 RXT Optional AT 2016-2019,Comprehensive,Petrol,5,"59,051",MH14,First Owner,999,Automatic,2017,23.01,67,91,,Jun,2017,60,3.96,Mumbai
Maruti,Celerio VXI CNG,Third Party,CNG,5,"20,416",MH12,First Owner,998,Manual,2022,35.6 ,55.92,82.1,,Jun,2022,15,7.16,Mumbai
Maruti,Swift VXI,Comprehensive,Petrol,5,"83,322",MH06,Second Owner,1197,Manual,2011,18.6,85.8,114,14,Jun,2011,75,3.14,Mumbai
Maruti,Baleno 1.3 Sigma,Third Party,Diesel,5,"52,229",MH12,First Owner,1248,Manual,2018,27.39,74,190,,Jun,2018,50,6.81,Mumbai
Maruti,Alto 800 LXI Opt S-CNG,Comprehensive,CNG,4,"36,818",MH12,First Owner,796,Manual,2021,31.59 ,40.36,60,,Jun,2021,20,4.6,Mumbai
Maruti,Swift VXI,Third Party,Petrol,5,"12,697",MH12,First Owner,1197,Manual,2021,22.38,88.50,113,,Jun,2021,20,7.03,Mumbai
Maruti,Celerio VXI CNG Optional BSIV,Third Party,CNG,5,"28,749",MH02,First Owner,998,Manual,2019,31.79,58.33,78,,Jun,2019,40,5.44,Mumbai
Maruti,Alto 800 CNG LXI,Comprehensive,CNG,5,"64,935",MH02,First Owner,796,Manual,2014,30.46,47.3,69,,Jun,2014,75,3.21,Mumbai
Maruti,Baleno Zeta CVT,Comprehensive,Petrol,5,"7,867",MH12,First Owner,1197,Automatic,2021,19.56,81.80,113,R16,Jun,2021,20,8.65,Mumbai
Maruti,S-Presso VXI Plus 2019-2022,Comprehensive,Petrol,5,"7,621",MH12,First Owner,998,Manual,2020,21.7,65.71,89,,Jun,2020,30,4.63,Mumbai
Maruti,Celerio VXI CNG,Third Party,CNG,5,"6,872",MH14,First Owner,998,Manual,2022,35.6 ,55.92,82.1,,Jun,2022,15,7.19,Mumbai
Volkswagen,Polo 1.2 MPI Highline,Third Party,Petrol,5,"35,203",MH13,First Owner,1199,Manual,2017,16.2,74,110,15,Jun,2017,60,6.03,Mumbai
Maruti,Wagon R CNG LXI,Comprehensive,CNG,5,"36,175",MH12,First Owner,998,Manual,2021,32.52,58.33,78,,Jun,2021,20,6.35,Mumbai
Hyundai,Aura S CNG,Comprehensive,CNG,5,"42,624",MH14,First Owner,1197,Manual,2020,28 ,68.05,95.2,,Jun,2020,30,7.67,Mumbai
Hyundai,i10 Sportz,Comprehensive,Petrol,5,"56,660",MH12,Second Owner,1197,Manual,2014,20.36,78.9,111.8,13,Jun,2014,75,3.16,Mumbai
Tata,Harrier XM BSIV,Third Party,Diesel,5,"59,951",MH12,Second Owner,1956,Manual,2019,17,138.1,350,,Jun,2019,40,12.91,Mumbai
Hyundai,Grand i10 Nios Asta,Third Party,Petrol,5,"8,404",MH12,First Owner,1197,Manual,2020,20.7,81.86,113.8,15,Jun,2020,30,7.85,Mumbai
Maruti,Alto 800 LXI Opt S-CNG,Third Party,CNG,4,"21,556",MH14,First Owner,796,Manual,2021,31.59 ,40.36,60,,Jun,2021,20,4.8,Mumbai
Maruti,Celerio VXI CNG Optional BSIV,Comprehensive,CNG,5,"49,629",MH14,First Owner,998,Manual,2018,31.79,58.33,78,,Jun,2018,50,5.13,Mumbai
Hyundai,i20 Asta 1.2,Comprehensive,Petrol,5,"48,400",MH34,First Owner,1197,Manual,2015,18.6,81.83,114.7,16,Jun,2015,75,5.91,Mumbai
Honda,Jazz ZX,Third Party,Petrol,5,"6,980",MH14,First Owner,1199,Manual,2021,17.1,88.50,110,15,Jun,2021,20,9.38,Mumbai
Hyundai,Santro Sportz CNG,Comprehensive,CNG,5,"47,463",MH05,First Owner,1086,Manual,2020,30.48 ,59.17,85.3,,Jun,2020,30,5.9,Mumbai
Hyundai,Grand i10 Nios Sportz CNG,Third Party,CNG,5,"12,166",MH43,First Owner,1197,Manual,2021,,68.05,95.2,13,Jun,2021,20,7.44,Mumbai
Maruti,Baleno 1.2 Delta,Third Party,Petrol,5,"50,272",MH14,First Owner,1197,Manual,2017,21.4,83.1,115,,Jun,2017,60,5.9,Mumbai
Maruti,Wagon R VXI Optional,Third Party,Petrol,5,"49,749",MH12,First Owner,998,Manual,2015,20.51,67.04,90,,Jun,2015,75,3.71,Mumbai
Maruti,Alto 800 LXI Opt S-CNG,Comprehensive,CNG,4,"37,134",MH05,First Owner,796,Manual,2021,31.59 ,40.36,60,,Jun,2021,20,4.77,Mumbai
Maruti,Wagon R LXI CNG,Comprehensive,CNG,5,"52,214",MH46,First Owner,998,Manual,2017,26.6,58.16,77,,Jun,2017,60,4.56,Mumbai
Hyundai,Venue SX Turbo,Third Party,Petrol,5,"11,668",MH14,First Owner,998,Manual,2022,18.27,118.35,172,,Jun,2022,15,10.99,Mumbai
Maruti,Swift VXI,Third Party insurance,Petrol,5,"30,000",,First Owner,1197,Manual,2021,22.38,88.50,113,,Mar,2021,20,6.9,Mumbai
Ford,Figo Diesel ZXI,Third Party insurance,Diesel,5,"90,000",,Second Owner,1399,Manual,2013,20,68.05,160,,Mar,2013,75,1.75,Mumbai
Hyundai,Venue S,Third Party,Petrol,5,"19,199",MH12,First Owner,1197,Manual,2021,17.52,81.86,113.76,,Jun,2021,20,8.24,Mumbai
Mahindra,XUV300 W8 AMT Option Diesel Dual Tone,Comprehensive,Diesel,5,"24,064",MH12,First Owner,1497,Automatic,2021,19.7,115.05,300,16,Jun,2021,20,13.84,Mumbai
Tata,Zest Revotron 1.2T XM,Comprehensive,Petrol,5,"47,587",MH12,Second Owner,1193,Manual,2014,17.57,88.7,140,,Jun,2014,75,4.17,Mumbai
Maruti,Alto 800 LXI,Third Party,Petrol,5,"8,271",MH12,Second Owner,796,Manual,2018,24.7,47.3,69,,Jun,2018,50,3.21,Mumbai
Maruti,Alto 800 LXI,Third Party,Petrol,5,"59,972",MH14,First Owner,796,Manual,2016,22.74,47.3,69,,Jun,2016,70,2.84,Mumbai
