Brand,Insurance Validity,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement (in cc),Transmission,Mileage (in kmpl),Max Power (in bhp),Wheel Size,Registration Month,Registration Year,Price (in lacs),City
Maruti,Third Party,CNG,7,51012.0,First Owner,1373,Manual,22.8,80.9,16,Jun,2015,7.04,Mumbai
Renault,Third Party,Petrol,5,31782.0,First Owner,999,Manual,21.74,67.0,16,Jun,2020,4.7,Hyderabad
Hyundai,Third Party,Petrol,5,102028.0,First Owner,1591,Manual,17.01,121.3,16,Oct,2012,4.9,Bangalore
Ford,Not Available,Petrol,5,27807.0,First Owner,1196,Manual,18.16,86.8,14,Sept,2017,3.96,Kolkata
Maruti,Comprehensive,Diesel,5,60680.0,First Owner,1248,Manual,24.3,88.5,16,Oct,2019,9.5,Ahmedabad
Ford,Third Party,Diesel,5,61000.0,First Owner,1399,Manual,20.0,68.0,14,Jun,2011,3.1,Hyderabad
Hyundai,Third Party,Petrol,5,71438.0,First Owner,1197,Manual,17.19,81.86,16,Jun,2015,5.39,Mumbai
Skoda,Third Party,Petrol,5,47577.0,First Owner,1798,Automatic,14.67,177.46,17,Jun,2016,14.0,Mumbai
Maruti,Third Party,Petrol,5,99832.0,First Owner,1197,Manual,18.5,85.8,16,Jun,2011,3.04,Bangalore
Mahindra,Third Party,Diesel,7,28000.0,First Owner,2179,Automatic,15.1,152.87,18,Feb,2021,20.75,Bangalore
Hyundai,Third Party,Petrol,5,39000.0,First Owner,1197,Manual,18.6,81.83,16,Mar,2019,7.75,Bangalore
Maruti,Third Party,Petrol,5,25000.0,First Owner,1197,Manual,21.4,83.1,16,Jun,2018,6.9,Bangalore
Renault,Not Available,Diesel,5,121904.0,First Owner,1461,Manual,20.45,83.8,16,Oct,2014,4.5,Jaipur
Mahindra,Comprehensive,Diesel,5,28000.0,First Owner,2198,Automatic,19.43998454264412,182.38,17,Jul,2022,22.75,Delhi
Renault,Third Party,Petrol,7,24160.0,First Owner,999,Manual,20.0,71.01,16,Jun,2021,6.33,Hyderabad
Hyundai,Not Available,Diesel,5,40246.0,First Owner,1120,Manual,24.0,70.0,16,Oct,2017,4.2,Ahmedabad
Ford,Comprehensive,Diesel,7,80000.0,Second Owner,3198,Automatic,10.91,197.0,18,Mar,2017,28.5,Bangalore
Maruti,Third Party,Petrol,5,64214.0,Third or More Owners,998,Manual,20.51,67.04,16,Dec,2015,3.6,Hyderabad
Honda,Third Party,Petrol,5,60000.0,Second Owner,1198,Manual,19.4,86.8,16,Sept,2012,2.35,Kolkata
Tata,Third Party,Petrol,5,21887.0,First Owner,1198,Automatic,17.0,108.5,16,Jun,2019,8.32,Delhi
Maruti,Third Party,Petrol,5,45212.0,Second Owner,796,Manual,22.05,47.33,16,Apr,2017,3.11,Jaipur
Maruti,Third Party,Diesel,7,52000.0,First Owner,1248,Manual,24.52,88.5,16,Feb,2017,7.0,Kolkata
Tata,Not Available,Petrol,5,16152.0,First Owner,1199,Manual,19.33,86.83,16,Mar,2021,5.0,Jaipur
Others,Comprehensive,Diesel,5,35000.0,First Owner,1999,Automatic,16.38,177.0,19,Aug,2017,48.0,Bangalore
Mahindra,Comprehensive,Diesel,7,56000.0,First Owner,1493,Manual,18.49,100.0,15,Feb,2018,6.35,Delhi
Volkswagen,Comprehensive,Petrol,5,96000.0,Second Owner,1598,Manual,15.04,103.6,14,Aug,2012,3.45,Jaipur
Others,Comprehensive,Diesel,5,126176.0,First Owner,1968,Automatic,17.68,174.33,17,Jul,2015,16.5,Pune
Hyundai,Not Available,Diesel,5,105005.0,Second Owner,1186,Manual,24.0,73.97,16,Aug,2017,3.1,Ahmedabad
Ford,Comprehensive,Petrol,5,18521.0,First Owner,1196,Manual,18.16,86.8,14,Mar,2017,3.0,Hyderabad
Skoda,Comprehensive,Diesel,5,131383.0,Second Owner,1598,Manual,20.5,103.5,14,Jun,2012,3.0,Mumbai
Hyundai,Comprehensive,Diesel,5,46175.0,First Owner,1120,Manual,24.4,71.0,16,Mar,2016,4.45,Bangalore
Renault,Not Available,Diesel,5,199779.0,Third or More Owners,1461,Manual,21.64,84.8,15,Feb,2013,2.5,Hyderabad
Honda,Comprehensive,Petrol,5,95052.0,First Owner,1497,Automatic,18.0,117.6,15,Aug,2017,6.95,Ahmedabad
Toyota,Comprehensive,Petrol,5,55000.0,First Owner,1197,Manual,18.16,78.8,15,May,2016,4.9,Mumbai
Mercedes-Benz,Third Party,Diesel,5,72000.0,Second Owner,2143,Automatic,14.8,120.7,16,Jan,2014,7.5,Ahmedabad
Maruti,Others,Petrol,4,100000.0,Second Owner,796,Manual,16.1,37.0,12,Jun,2018,0.45,Jaipur
Maruti,Third Party,CNG,5,52754.0,First Owner,998,Manual,26.6,58.16,16,Jun,2019,5.45,Delhi
Maruti,Third Party,Petrol,5,40888.0,First Owner,796,Manual,19.7,46.3,12,Jun,2011,2.35,Bangalore
Maruti,Comprehensive,Petrol,5,18226.0,First Owner,1197,Automatic,19.56,81.8,16,Jun,2021,8.15,Ahmedabad
Maruti,Third Party,Petrol,5,35000.0,Second Owner,1061,Manual,18.9,67.0,13,Jun,2018,1.8,Ahmedabad
Hyundai,Others,Petrol,5,82060.0,First Owner,1197,Manual,18.9,82.0,14,Jun,2014,4.52,Ahmedabad
Maruti,Comprehensive,Petrol,5,36000.0,First Owner,998,Automatic,23.1,67.04,16,Nov,2016,3.95,Delhi
Hyundai,Third Party,Petrol,5,40826.0,First Owner,1086,Manual,20.3,68.05,16,Jun,2021,5.69,Kolkata
Hyundai,Comprehensive,Petrol,5,96668.0,First Owner,1197,Manual,19.1,82.0,16,Jun,2015,3.81,Delhi
Others,Third Party,Petrol,6,20351.0,First Owner,1451,Automatic,16.56,141.0,18,Jul,2020,20.5,Hyderabad
Volkswagen,Third Party,Diesel,5,93557.0,First Owner,1598,Manual,20.54,103.6,15,Feb,2012,4.6,Hyderabad
Skoda,Not Available,Diesel,5,97642.0,First Owner,1968,Automatic,19.3,141.0,16,Dec,2013,7.0,Jaipur
Others,Comprehensive,Diesel,5,75000.0,First Owner,1968,Automatic,15.17,181.0,18,Dec,2014,13.0,Delhi
Tata,Others,Diesel,5,11521.0,First Owner,1956,Manual,17.0,167.63,17,Oct,2021,17.0,Jaipur
Maruti,Third Party,Petrol,5,57963.0,First Owner,1197,Manual,21.4,83.1,16,Jun,2016,4.64,Delhi
Maruti,Not Available,Diesel,5,54479.0,First Owner,1248,Manual,28.4,74.0,15,Nov,2019,6.19,Ahmedabad
BMW,Third Party,Diesel,5,67730.0,First Owner,1995,Automatic,17.05,184.0,17,Mar,2013,8.71,Ahmedabad
Ford,Third Party,Petrol,5,18078.0,First Owner,1196,Manual,18.16,86.8,14,Jun,2019,5.81,Hyderabad
Maruti,Not Available,Petrol,5,81849.0,Second Owner,998,Manual,20.51,67.04,16,Nov,2015,3.25,Jaipur
Honda,Third Party,Petrol,5,54846.0,First Owner,1497,Manual,17.8,117.3,16,Jun,2017,4.6,Kolkata
Tata,Comprehensive,Petrol,5,22011.0,Second Owner,1198,Automatic,17.0,108.5,16,Jun,2019,8.84,Mumbai
Honda,Comprehensive,Petrol,5,64433.0,First Owner,1199,Manual,18.7,88.7,15,Jun,2015,5.72,Bangalore
Hyundai,Comprehensive,Petrol,5,42903.0,First Owner,1591,Automatic,17.01,121.3,16,Jun,2017,8.68,Hyderabad
Hyundai,Comprehensive,Diesel,5,72130.0,First Owner,1582,Manual,19.67,126.2,16,Jul,2017,10.6,Hyderabad
Volkswagen,Others,Petrol,5,38500.0,First Owner,999,Manual,17.69,108.62,15,Nov,2020,9.25,Hyderabad
Mahindra,Comprehensive,Diesel,7,31245.0,First Owner,2179,Automatic,15.1,152.87,17,May,2018,15.0,Ahmedabad
Ford,Not Available,Diesel,5,133657.0,Third or More Owners,1399,Manual,20.0,68.0,14,Aug,2011,1.5,Jaipur
Ford,Third Party,Petrol,5,27644.0,First Owner,1497,Automatic,14.8,121.36,16,Jan,2018,8.45,Mumbai
Hyundai,Not Available,Diesel,5,79937.0,First Owner,1186,Manual,24.0,73.97,16,Dec,2017,4.75,Ahmedabad
Hyundai,Third Party,Diesel,7,37931.0,First Owner,1493,Manual,20.4,113.42,18,Mar,2022,19.0,Ahmedabad
Maruti,Third Party,Petrol,5,22337.0,First Owner,1197,Manual,21.01,81.8,16,Jun,2020,6.42,Delhi
Others,Third Party,Petrol,5,8857.0,First Owner,999,Manual,18.75,71.02,16,Jun,2021,9.53,Hyderabad
Others,Third Party,Diesel,5,80000.0,Third or More Owners,1461,Manual,21.64,84.8,14,Jun,2018,6.0,Pune
Toyota,Comprehensive,Petrol,5,20014.0,First Owner,1798,Automatic,14.28,138.03,16,Mar,2019,15.75,Mumbai
Maruti,Third Party,Petrol,5,13766.0,First Owner,796,Manual,22.05,47.33,16,Jun,2020,3.96,Kolkata
Honda,Third Party,Petrol,5,25196.0,First Owner,1497,Manual,17.4,117.6,15,Jun,2017,8.13,Bangalore
Ford,Comprehensive,Diesel,5,75000.0,First Owner,1498,Manual,23.5,9.0,15,Dec,2011,2.99,Jaipur
Honda,Third Party,Petrol,5,60771.0,Second Owner,1199,Automatic,19.0,88.7,15,Jun,2016,4.5,Mumbai
